date,"Miami-Fort Lauderdale, FL","Tampa, FL","Orlando, FL","Jacksonville, FL","North Port-Sarasota-Bradenton, FL","Fort Myers, FL","Lakeland, FL","Daytona Beach, FL","Melbourne, FL","Port St. Lucie, FL"
2016-09,1803,1291,1295,1139,1442,1295,1133,1152,1157,1299
2016-10,1806,1296,1300,1142,1445,1300,1138,1158,1164,1305
2016-11,1809,1301,1305,1146,1449,1304,1143,1163,1171,1311
2016-12,1811,1306,1310,1149,1453,1308,1147,1168,1178,1317
2017-01,1814,1311,1315,1152,1457,1312,1152,1173,1185,1324
2017-02,1818,1316,1320,1156,1461,1316,1156,1177,1192,1330
2017-03,1821,1321,1326,1160,1465,1319,1160,1182,1198,1337
2017-04,1824,1326,1331,1163,1468,1323,1165,1187,1205,1344
2017-05,1828,1331,1337,1167,1472,1327,1169,1192,1212,1351
2017-06,1832,1336,1343,1171,1476,1331,1174,1197,1218,1357
2017-07,1836,1341,1349,1175,1479,1335,1178,1202,1225,1364
2017-08,1840,1346,1356,1180,1483,1339,1183,1209,1232,1371
2017-09,1844,1352,1363,1185,1487,1343,1189,1215,1239,1379
2017-10,1848,1358,1370,1189,1490,1347,1194,1221,1246,1386
2017-11,1852,1363,1378,1194,1495,1351,1200,1228,1253,1394
2017-12,1856,1369,1385,1199,1499,1356,1207,1235,1261,1401
2018-01,1860,1375,1392,1204,1503,1360,1213,1241,1268,1409
2018-02,1865,1381,1400,1209,1508,1364,1220,1248,1275,1417
2018-03,1869,1387,1407,1215,1513,1369,1227,1254,1283,1424
2018-04,1873,1393,1415,1220,1518,1374,1235,1260,1290,1432
2018-05,1878,1399,1421,1225,1522,1378,1242,1267,1296,1439
2018-06,1882,1405,1428,1231,1527,1383,1249,1273,1303,1447
2018-07,1887,1411,1435,1236,1532,1387,1256,1280,1310,1454
2018-08,1892,1416,1441,1241,1537,1391,1263,1286,1316,1460
2018-09,1896,1422,1447,1245,1542,1395,1271,1292,1322,1467
2018-10,1901,1427,1453,1250,1546,1399,1278,1299,1328,1473
2018-11,1905,1433,1458,1254,1551,1404,1284,1304,1333,1477
2018-12,1909,1438,1463,1258,1556,1408,1290,1310,1338,1482
2019-01,1913,1443,1469,1263,1560,1412,1296,1315,1342,1486
2019-02,1917,1448,1474,1267,1565,1416,1301,1320,1347,1491
2019-03,1921,1454,1479,1271,1570,1420,1306,1325,1351,1496
2019-04,1925,1459,1484,1275,1575,1424,1312,1330,1355,1501
2019-05,1929,1464,1488,1278,1580,1428,1317,1335,1360,1507
2019-06,1934,1470,1493,1282,1585,1432,1322,1340,1365,1514
2019-07,1938,1475,1498,1286,1590,1435,1327,1345,1370,1520
2019-08,1943,1481,1502,1289,1594,1439,1332,1350,1375,1526
2019-09,1947,1486,1506,1293,1598,1443,1337,1355,1380,1533
2019-10,1952,1491,1510,1296,1603,1448,1342,1359,1386,1539
2019-11,1955,1496,1512,1299,1606,1451,1346,1363,1391,1545
2019-12,1958,1500,1514,1302,1609,1455,1351,1367,1396,1551
2020-01,1961,1505,1516,1305,1612,1459,1356,1372,1401,1557
2020-02,1964,1510,1518,1309,1616,1463,1361,1376,1406,1564
2020-03,1966,1515,1519,1312,1621,1468,1366,1381,1412,1571
2020-04,1969,1520,1521,1316,1625,1473,1372,1386,1417,1578
2020-05,1973,1528,1523,1322,1631,1478,1379,1393,1423,1588
2020-06,1977,1535,1525,1327,1638,1484,1385,1399,1430,1597
2020-07,1981,1542,1527,1333,1644,1490,1392,1406,1436,1607
2020-08,1989,1553,1532,1341,1655,1498,1402,1415,1445,1620
2020-09,1998,1565,1538,1350,1667,1506,1411,1425,1454,1633
2020-10,2007,1576,1543,1359,1678,1515,1420,1434,1463,1647
2020-11,2031,1599,1558,1377,1704,1535,1436,1449,1480,1670
2020-12,2054,1622,1574,1394,1729,1555,1452,1465,1498,1694
2021-01,2078,1645,1589,1412,1755,1575,1468,1480,1515,1717
2021-02,2107,1674,1609,1433,1787,1601,1487,1497,1537,1744
2021-03,2136,1702,1629,1454,1819,1627,1505,1514,1558,1771
2021-04,2166,1730,1649,1475,1851,1652,1524,1532,1579,1798
2021-05,2197,1759,1670,1497,1884,1679,1544,1549,1601,1825
2021-06,2227,1788,1691,1519,1917,1706,1563,1567,1623,1853
2021-07,2258,1817,1711,1540,1950,1733,1582,1585,1645,1880
2021-08,2291,1848,1733,1563,1985,1761,1602,1603,1668,1908
2021-09,2323,1878,1755,1586,2019,1790,1622,1621,1691,1937
